"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.541847229E0,-1.149216816E-1,1.149216816E-1,9.805526733E0
3.542302132E0,-1.149216816E-1,7.661445439E-2,9.805526733E0
3.543335199E0,-1.149216816E-1,1.149216816E-1,9.805526733E0
3.544307232E0,-1.149216816E-1,7.661445439E-2,9.805526733E0
3.545438051E0,-1.149216816E-1,1.149216816E-1,9.805526733E0
3.546312094E0,-1.149216816E-1,7.661445439E-2,9.805526733E0
3.547478199E0,-1.149216816E-1,1.149216816E-1,9.805526733E0
3.548444033E0,-1.149216816E-1,7.661445439E-2,9.805526733E0
3.549414158E0,-1.532289088E-1,7.661445439E-2,9.805492401E0
3.550307274E0,-1.532289088E-1,1.149216816E-1,9.805492401E0
3.551429033E0,-1.532289088E-1,7.661445439E-2,9.805492401E0
3.552323341E0,-1.532289088E-1,1.149216816E-1,9.805492401E0
3.553322077E0,-1.532289088E-1,7.661445439E-2,9.805492401E0
3.554438114E0,-1.532289088E-1,1.149216816E-1,9.805492401E0
3.555305243E0,-1.532289088E-1,7.661445439E-2,9.805492401E0
3.556376219E0,-1.532289088E-1,1.149216816E-1,9.805492401E0
3.557324171E0,-1.532289088E-1,7.661445439E-2,9.805492401E0
3.558375120E0,-1.532289088E-1,1.149216816E-1,9.805492401E0
3.559448242E0,-1.149216816E-1,7.661445439E-2,9.805515289E0
3.560307026E0,-1.149216816E-1,1.149216816E-1,9.805515289E0
3.561304331E0,-1.149216816E-1,7.661445439E-2,9.805515289E0
3.562313080E0,-1.149216816E-1,1.149216816E-1,9.805515289E0
3.563309193E0,-1.149216816E-1,7.661445439E-2,9.805515289E0
3.564318180E0,-1.149216816E-1,1.149216816E-1,9.805515289E0
3.565373182E0,-1.149216816E-1,7.661445439E-2,9.805515289E0
3.566316128E0,-1.149216816E-1,1.149216816E-1,9.805515289E0
3.567322016E0,-1.149216816E-1,7.661445439E-2,9.805515289E0
3.568866253E0,-1.149216816E-1,1.149216816E-1,9.805515289E0
3.569333076E0,-1.532289088E-1,7.661445439E-2,9.805515289E0
3.570355177E0,-1.532289088E-1,1.149216816E-1,9.805515289E0
3.571428061E0,-1.532289088E-1,7.661445439E-2,9.805515289E0
3.572366238E0,-1.532289088E-1,1.149216816E-1,9.805515289E0
3.573404074E0,-1.532289088E-1,7.661445439E-2,9.805515289E0
3.574331999E0,-1.532289088E-1,1.149216816E-1,9.805515289E0
3.575459242E0,-1.532289088E-1,7.661445439E-2,9.805515289E0
3.576410055E0,-1.532289088E-1,1.149216816E-1,9.805515289E0
3.577304363E0,-1.532289088E-1,7.661445439E-2,9.805515289E0
3.578406096E0,-1.532289088E-1,1.149216816E-1,9.805515289E0
3.579276323E0,-1.532289088E-1,3.830722719E-2,9.805497169E0
3.580317020E0,-1.532289088E-1,7.661445439E-2,9.805497169E0
3.581315279E0,-1.532289088E-1,3.830722719E-2,9.805497169E0
3.582317352E0,-1.532289088E-1,7.661445439E-2,9.805497169E0
3.583332062E0,-1.532289088E-1,3.830722719E-2,9.805497169E0
3.584322214E0,-1.532289088E-1,7.661445439E-2,9.805497169E0
3.585321188E0,-1.532289088E-1,3.830722719E-2,9.805497169E0
3.586333036E0,-1.532289088E-1,7.661445439E-2,9.805497169E0
3.587310314E0,-1.532289088E-1,3.830722719E-2,9.805497169E0
3.588497162E0,-1.532289088E-1,7.661445439E-2,9.805497169E0
3.589305401E0,-1.532289088E-1,1.532289088E-1,9.805474281E0
3.590401173E0,-1.532289088E-1,1.915361285E-1,9.805474281E0
3.591283083E0,-1.532289088E-1,1.532289088E-1,9.805474281E0
3.592305183E0,-1.532289088E-1,1.915361285E-1,9.805474281E0
3.593297005E0,-1.532289088E-1,1.532289088E-1,9.805474281E0
3.594314098E0,-1.532289088E-1,1.915361285E-1,9.805474281E0
3.595283031E0,-1.532289088E-1,1.532289088E-1,9.805474281E0
3.596343279E0,-1.532289088E-1,1.915361285E-1,9.805474281E0
3.597285986E0,-1.532289088E-1,1.532289088E-1,9.805474281E0
3.598271132E0,-1.532289088E-1,1.915361285E-1,9.805474281E0
3.599283218E0,-1.532289088E-1,7.661445439E-2,9.805473328E0
3.600287199E0,-1.532289088E-1,1.149216816E-1,9.805473328E0
3.601302147E0,-1.532289088E-1,7.661445439E-2,9.805473328E0
3.602292061E0,-1.532289088E-1,1.149216816E-1,9.805473328E0
3.603334188E0,-1.532289088E-1,7.661445439E-2,9.805473328E0
3.604290247E0,-1.532289088E-1,1.149216816E-1,9.805473328E0
3.605289221E0,-1.532289088E-1,7.661445439E-2,9.805473328E0
3.606291056E0,-1.532289088E-1,1.149216816E-1,9.805473328E0
3.607315063E0,-1.532289088E-1,7.661445439E-2,9.805473328E0
3.608276129E0,-1.532289088E-1,1.149216816E-1,9.805473328E0
3.609280109E0,-7.661445439E-2,7.661445439E-2,9.805540085E0
3.610291243E0,-7.661445439E-2,1.149216816E-1,9.805540085E0
3.611338139E0,-7.661445439E-2,7.661445439E-2,9.805540085E0
3.612560987E0,-7.661445439E-2,1.149216816E-1,9.805540085E0
3.613327980E0,-7.661445439E-2,7.661445439E-2,9.805540085E0
